item_no,item_title,source_pages,source_pdf,test_item,materials,method,domain,domain_code,standard,score_options,ocr_status
88,（88） 辨别9个生字,30,PEP-3使用册(1).pdf,"（88） 辨别9个生字
*测试时建议进行次序：
项目90 89—88*","字卡9张
*（人、口、
上、山、刀、
天、火、手、
田）*","测试员把字卡放在儿童面前的桌子
上，随意地说出1个生字，例如：
「俾个「人」字我。」（把「人」字给
我。）
要求儿童把所读出的字卡交给测试
员。然后，把儿童所交出的字卡放回
原位，再用以上程序测试余下的生
字。
只要儿童的反应是清晰的，儿童可以
以手触摸或指向字卡作答。",语言理解,RL,"2- 能正确地交出或触碰全部9张字卡
1- 能正确地交出或触碰1-8张字卡
0- 未能正确地交出任何字卡；或没有尝试去做",2/1/0,OCR草稿，需人工校对
89,（89） 读出9个生字,31,PEP-3使用册(1).pdf,（89） 读出9个生字,同上,"测试员把字卡放在儿童前面的桌子
上。随意指向其中1张字卡，问儿
童：「呢个系乜嘢字？」（这是甚么
字？）继续用同样程序测试余下的生
字。
若儿童不明白此项目，测试员可示范
读出第1张字卡。",语言表达,EL,"2- 正确地读出全部9个生字
1- 正确地读出1-8个生字：或将所有生字读成
同一个字（例如：将所有字读成「人」）
0- 未能正确地说出任何生字",2/1/0,OCR草稿，需人工校对
90,（90）生字配对,31,PEP-3使用册(1).pdf,"（90）生字配对
测试用书","测试用书内之生
字表及字卡9张
*（人、口、
上、山、刀、
天、火、手、
田）*","测试员在儿童面前翻开生字表。把
「人」字卡交给儿童并指向生字表，
指示儿童把字卡配对在适当的位置
上。测试员对儿童说：「应该摆喺边
度至啱呀？」（应该放在哪里呀？）重
复以上程序并以随意抽字的方式测试
余下的字卡。测试员须注意每次只能
把1张字卡交给儿童。*并在儿童作答
后，移走儿童所放的字卡。*
若儿童不明白此项目，测试员可示范
配对「人」字，然后拿起「人」字卡并
交给儿童，指示儿童再次配对字卡。","认知
（语言/语前）",CVP,"2-能配对全部9个生字
1- 能配对1-8个生字
0- 未能配对任何生字",2/1/0,OCR草稿，需人工校对
91,（91） 读出数字1-10,31,PEP-3使用册(1).pdf,（91） 读出数字1-10,"测试用书内之
数字表","测试员拿出数字表，指着第一个数
字问儿童：「呢个系乜嘢？」（这是甚
么？）
一段时间后，若儿童仍未有反应，测
试员可读出该数字。重复以上程序测
试下一个数字。",语言表达,EL,"2- 正确地读出全部10个数字
1- 正确地读出1-9个数字：或把全部数字读成
同一个数字（例如：将所有数字都读成5）
0- 未能正确地读出任何数字",2/1/0,OCR草稿，需人工校对
92,（92） 读出3个单字,31,PEP-3使用册(1).pdf,（92） 读出3个单字,测试用书,"测试员翻开测试用书中印有中文故事
的一页，要求儿童大声读出第1行的
4个字：
*球狗猫屋*",语言表达,EL,"2- 正确地读出3个字
1- 正确地读出1或2个字
0- 未能正确地读出任何字",2/1/0,OCR草稿，需人工校对
93,（93） 读出1句短句子,32,PEP-3使用册(1).pdf,（93） 读出1句短句子,同上,"测试员鼓励儿童读出整个故事，注意
儿童如何将故事读出及所犯的错误。
故事内容如下：
*小明有一只狗和一只猫。小明又有
一个皮球。小明、小猫和小狗住在屋
子里。
一天，小明和小猫、小狗玩皮球。小
狗跳过小明的皮球向前走，小明捉住
了小狗，他们回家去。
小明拿着皮球把它放在桌子上。*",语言表达,EL,"［若第（92）项（读出3个单字〕评为1分或0分，
此项则可免做并评为0分］
2- 正确读出最少1句短句子
1- 正确读出1句片语或两个相连的词语（例如：
「小明有一只狗」，「小明有」，「一个皮球」）
0- 未能正确读出2个相连的词语",2/1/0,OCR草稿，需人工校对
94,（94）诵读篇章少于3个犯错,32,PEP-3使用册(1).pdf,（94）诵读篇章少于3个犯错,测试用书,"当进行第（93）项时，注意儿童是否
多次犯错。",语言表达,EL,"［若第（92）项（读出3个单字）评为1分或0分，
此项则可免做并评为0分］
2- 诵读时犯了不多于3个错误，基本上能流畅地
读出，只在较难的字上表现犹疑；只读漏1-
2个词语
1- 能诵读故事的大部分，但多次犯错；读漏或
读错较长的句子；读得不流畅，在简单的字
词上亦会表现得犹疑
0- 曾尝试诵读，但几乎每个字都要提示；或未
能阅读",2/1/0,OCR草稿，需人工校对
95,（95）阅读理解及回答2条问题,32,PEP-3使用册(1).pdf,"（95）阅读理解及回答2条问题
测试用书及皮球",同上,"当儿童完成第（93）项时，测试员要
求儿童安静地再看故事1次，当儿童
看完后，向儿童提问以下问题：
1.小明有啲乜嘢动物呀？（小明有哪
些动物呀？）（狗和猫）
2. 小明玩乜嘢呀？（小明在玩甚
么？）（狗、猫或皮球）
3. 有乜嘢跳过小明个皮球？（甚么跳
过小明的皮球？）（狗）",语言表达,EL,"［若第（92）项〔读出3个单字〕评为1分或0分，
此项则可免做并评为0分］
2- 能在3个问题之中，正确回答最少2题
1- 正确回答1题
0- 未能够正确回答任何问题",2/1/0,OCR草稿，需人工校对
96,（96） 阅读句子及遵从指令,32,PEP-3使用册(1).pdf,（96） 阅读句子及遵从指令,"测试用书及
皮球","测试员翻开测试用书内印有故事的一
真，把皮球放在桌子旁*的地上*，
并确定儿童能看见及触摸到皮球。
要求儿童读出故事的最后1句，测
试员可对儿童说：「你好似小明咁做
呀。」（你跟小明一样做吧。）",语言表达,EL,"［若第（92）项〔读出3个单字）评为1分或0分，
此项则可免做并评为0分］
2- 拿起皮球放在桌子上
1- 拿起皮球但没有放在桌子上
0- 没有遵从指令去做",2/1/0,OCR草稿，需人工校对
97,（97）把1块积木放进盒中,33,PEP-3使用册(1).pdf,（97）把1块积木放进盒中,"积木（6块）及
盒子1个","测试员把一堆积木留在桌子上，把盒
子放在积木旁，指示儿童把积木放入
盒内。
若儿童不明白此项目，测试员可使用
2块积木作示范，然后再指示儿童将
积木放进小盒子内。",小肌肉,FM,"2- 将最少1块积木放进盒内
1- 尝试将1块积木放进盒内，但因协调不佳而
未能成功
0- 没有尝试此项目",2/1/0,OCR草稿，需人工校对
98,（98） 轮流摆放积木进盒中,33,PEP-3使用册(1).pdf,"（98） 轮流摆放积木进盒中
小积木",同上,"进行第（97）项后，测试员把积木留在
桌子上，把一块积木放入盒内，然后
指示儿童与测试员轮流摆放，直至所
有积木放入盒内为止。",社交互动,SR,"2- 儿童愿意等候并能和测试员逐一轮流摆放积
木入盒
1- 需在测试员多次指示下，才能轮流摆放积木
入盒内
0- 在测试员多次指示下，仍未能轮流摆放积木
入盒内",2/1/0,OCR草稿，需人工校对
99,（99） 叠8块积木,33,PEP-3使用册(1).pdf,"（99） 叠8块积木
杯子及积木",小积木12块,"测试员把积木放置于儿童面前，示范
将2块积木叠起，然后将所有积木零
散地放在桌子上。指示儿童叠起积
木。儿童有3次机会去叠起最少8块
积木。",小肌肉,FM,"2- 在任何1次尝试中，成功地叠起最少8块积木
1- 成功叠起最少3块积木；或在叠起多于3块积
木后，积木塌下
0- 未能或没有尝试去叠积木；或只能叠起2块",2/1/0,OCR草稿，需人工校对
100,（100） 执行2步骤的指令,33,PEP-3使用册(1).pdf,（100） 执行2步骤的指令,"杯子及积木多
块","测试员把上一项所用的积木留在桌子
上，再把1只杯子放在积木旁边。吸
引儿童的注意，并说：「摆1嚿积木
落只杯度，然后摆只杯喺地下。」（把
一块积木放在杯子里，然后把杯子放
在地上。）
一段时间后，若儿童不明白此项目，
测试员可重复指令。当儿童开始了动
作，切勿给予任何口语或非口语的提
示。",语言理解,RL,"2- 正确地执行2部分的指令
1- 曾尝试执行2部分的指令，但不成功（例如：
只把积木放入杯子、把杯子放在地上然后才
放积木，或放入多于1块积木）
0- 未能执行任何指令",2/1/0,OCR草稿，需人工校对
101,（101） 按指示交出2块及6块积木,34,PEP-3使用册(1).pdf,"（101） 按指示交出2块及6块积木
7块小积木","相同颜色的积
木8块","测试员把所有积木放在儿童面前的
桌子上，说：「俾两嚿积木我。」（给
我两块积木。）然后将儿童交出的积
木放回桌子上，再说：「俾6嚿积木
我。」（给我6块积木。）",语言理解,RL,"2- 正确地交出2块和6块积木给测试员
1- 只能正确地交出2块或6块积木给测试员
0- 未能正确地交出2块或6块积木给测试员",2/1/0,OCR草稿，需人工校对
102,（102） 数出2块及7块积木,34,PEP-3使用册(1).pdf,（102） 数出2块及7块积木,"相同颜色的积
木7块","测试员把2块积木放在儿童面前，
问：「有几多嚿积木呀？」（有多少块
积木？），鼓励儿童用手指逐一指着
积木来数。
若儿童能数出2块积木，测试员将其
余的5块积木都放在桌子上。重复以
上测试程序。注意儿童能否逐块积木
数出来。",语言表达,EL,"2- 正确地数出2块和7块积木
1- 只能正确地数出2块积木；或数错（重复数同
一块积木或漏数个别积木）
0- 不能数出2块积木",2/1/0,OCR草稿，需人工校对
103,（103） 唱数1-10,34,PEP-3使用册(1).pdf,"（103） 唱数1-10
积木、筹码和透明罐",无,"测试员要求儿童大声地由1数到10，
*说：「你由1数到10俾我听呀。」
（给我数1-10。）*若儿童不明白此
项目，则给予协助，说：「1，跟住
系乜 嘢呀？」（1，之后是甚么呢？）","认知
（语言/语前）",CVP,"2- 正确唱数1至10
1- 正确唱数1至9
0- 未能正确由1数至9
2- 正确地配对6次",2/1/0,OCR草稿，需人工校对
104,（104） 2种物件分类（积木及筹码）,34,PEP-3使用册(1).pdf,（104） 2种物件分类（积木及筹码）,"相同颜色的积
木6块，黑色
筹码6个及透
明的塑胶容器
2个","测试员把1块积木及1个筹码分别放
在2个透明容器内。然后示范放入配
对积木及筹码各1块。然后随意将余
下的积木或筹码逐一交给儿童，并示
意儿童把积木或筹码放入相应的容器
内。
改正儿童首4次所犯的错误。","认知
（语言/语前）",CVP,"2- 正确地配对6次
1- 正确地配对4-5次
0- 正确地配对少于4次；或拒绝去完成此项目",2/1/0,OCR草稿，需人工校对
105,（105） 配对5种颜色积木在图形上,35,PEP-3使用册(1).pdf,（105） 配对5种颜色积木在图形上,"颜色积木5块
（黄、红、蓝、
绿及白）及测试
用书中的颜色
图页","测试员翻开测试用书中有颜色圈的
一页，并把5块颜色积木放在儿童面
前，然后随意把其中一块积木递给儿
童，并指向颜色图，说：「睇吓呢嚿
积木嘅颜色，将嚿积木放喺相同颜色
嘅圈上面。」（看看这块积木的颜色，
把它放在颜色相同的圈子上。）并用
手势示意儿童将积木放在颜色相同的
圈子上。
若儿童表现出不明白或有困难，测试
员可示范放好5块积木，然后拿走积
木，重复以上测试程序。
注意：每次只给儿童1块积木，当儿
童放好积木后，便移除所放的积木。","认知
（语言/语前）",CVP,"2- 无需示范，正确地把5块积木配对在颜色圈
上
1- 需要示范或无需示范下，能配对最少1块积
木在颜色圈上
0- 在示范下，仍未能配对任何颜色的积木",2/1/0,OCR草稿，需人工校对
106,（106） 说出5种颜色,35,PEP-3使用册(1).pdf,（106） 说出5种颜色,"颜色积木5块
（黄、红、蓝、
绿及白）","测试员把5块积木放在儿童前面的桌
子上，测试员指着或拿起其中一块
说：「呢只系乜嘢色？」（这是甚么颜
色？）
重复此程序测试余下的积木。",语言表达,EL,"2- 正确说出5种颜色
1- 正确说出最少1种颜色；或把所有颜色积木说
成同一颜色（例如：把所有积木都说是绿色）
0- 未能正确说出任何颜色
2- 正确挑选5种颜色",2/1/0,OCR草稿，需人工校对
107,（107）按指示挑选5种颜色,35,PEP-3使用册(1).pdf,（107）按指示挑选5种颜色,同上,"测试员把5块积木放在儿童前面的桌
子上，说：「俾嚿红色我。」（把红色
的给我。）
若儿童不明白指令「俾」（给），可改
为说：「指住红色。」（指着红色。）
或「边个系红色？」（哪个是红色
的？）
重复以上程序测试余下的颜色。
每次要先将儿童交出的积木放回原
位，才继续测试余下的颜色。",语言理解,RL,"2- 正确挑选5种颜色
1- 正确挑选最少1种颜色
0- 未能挑选任何颜色",2/1/0,OCR草稿，需人工校对
108,（108） 自行根据颜色或形状作12张 图卡分类,36,PEP-3使用册(1).pdf,"（108） 自行根据颜色或形状作12张
图卡分类","有颜色的形状
图卡12张（绿
色、红色及紫
色的菱形、圆
形、正方形及
三角形图卡）","测试员随意把图卡放在儿童面前的桌
子上。指示儿童把图卡分类，并说：
「边啲卡系一齐嘅？将一样嘅放埋一
齐。」（甚么卡是在一起的？把同样的放
在一起。）
过一段时间后，若儿童不明白如何完成
此项目，测试员示范分出一类图卡（例
如：分出所有三角形图卡，或分出所有
绿色图卡）。然后要求儿童再次尝试。
如有需要，测试员可进一步示范按颜
色或形状把全部图卡分类，然后把图
卡混合起来，再随意放回桌子上，让
儿童再次尝试。","认知
（语言/语前）",CVP,"［若第*（105）*〔配对5种颜色积木在图形上）评
为0分或1分，此项则可免做并评为0分］
2- 无需示范，能将12张图卡按形状或颜色分类
1- 能将最少一组图卡完整地按形状或颜色分
类；或将部分图卡分出两类：或需作示范后
才能完成此项目
0- 在全部示范后，仍未能将任何图卡作出部分 的分类",2/1/0,OCR草稿，需人工校对
109,（109） 对他人模仿自己的动作有反应,36,PEP-3使用册(1).pdf,（109） 对他人模仿自己的动作有反应,无,"当测试员开始了解儿童的行为或游玩
模式，测试员可模仿儿童的动作，但
切勿模仿儿童自我刺激的行为或其他
频密出现的行为。
重复模仿的动作最少3次，观察儿童是
否留意到测试员的模仿行为，并注意儿
童会否跟着测试员再重复该动作，及留
意儿童是否喜欢别人模仿他。","认知
（语言/语前）",CVP,"2-留意到测试员的模仿行为；表现感兴趣或喜
悦的表情，并会重复该动作来继续游戏
1- 稍微留意到测试员的模仿行为，但没有重复
该动作
0- 没有留意到测试员的模仿行为",2/1/0,OCR草稿，需人工校对
110,（110） 对他人模仿自己的声音有反应,36,PEP-3使用册(1).pdf,（110） 对他人模仿自己的声音有反应,无,"测试员重复儿童惯常发出的声音，注
意儿童是否留意到测试员的模仿行
为，留意儿童是否喜欢别人模仿他的
声音及乐在其中。","认知
（语言/语前）",CVP,"2- 留意到测试员的模仿行为，表现感兴趣或喜
悦的表情，并会重复声音来继续游戏
1- 对测试员的模仿行为稍感兴趣，但没有重复
声音来继续游戏
0- 没有留意到测试员的模仿行为",2/1/0,OCR草稿，需人工校对
111,（111） 模仿3种声音,36,PEP-3使用册(1).pdf,（111） 模仿3种声音,无,"测试员先吸引儿童的注意，说：「听住，
跟我讲。」（先听，跟着我说。）然后说：
「m-m-m」（唔）并指示儿童模仿声音。
重复以上程序测试以下声音：
「ba-ba」（「爸」-「爸」）
「pa-ta」（「爸」-「打」）
「la-la」（「啦」-「啦」）
若儿童表现不明白或有困难，测试员可
先与儿童练习说：「da-dal（「打」-「打」）。","认知
（语言/语前）",CVP,"2- 正确模仿最少3个声音
1- 正确模仿1-2个声音；或曾尝试，但因发音
的困难以致声音不太准确
0- 没有模仿任何声音",2/1/0,OCR草稿，需人工校对
112,（112） 重复2个数宇 （113） 重复3个数字,37,PEP-3使用册(1).pdf,"评估
（112） 重复2个数宇
（113） 重复3个数字",无,"测试员先吸引儿童的注意，说：「我
讲啲数字出嚟，听清楚，我讲完之后
就轮到你讲番出嚟。」（我将会说些数
字，你要听清楚，我说完后你就把它
们说出来。）用1秒1个数字的速度把
各数字读出。
每一项目（2个及3个数字）均有2次
机会尝试，但只在首次尝试时犯错，
才让儿童作第2次的尝试。
若儿童在项目（112）的两次尝试中均
未能重复两组2个数字，便停止测试
余下的部分，并评为0分。
首次尝试 第2次尝试
7-9 5-3
2-4-1 5-7-9","认知
（语言/语前）",CVP,"2- 在首次尝试能正确重复所有数字
1- 在第2次尝试才能正确重复所有数字
0- 在2次尝试中，都未能重复所有数字",2/1/0,OCR草稿，需人工校对
113,（112） 重复2个数宇 （113） 重复3个数字,37,PEP-3使用册(1).pdf,"评估
（112） 重复2个数宇
（113） 重复3个数字",无,"测试员先吸引儿童的注意，说：「我
讲啲数字出嚟，听清楚，我讲完之后
就轮到你讲番出嚟。」（我将会说些数
字，你要听清楚，我说完后你就把它
们说出来。）用1秒1个数字的速度把
各数字读出。
每一项目（2个及3个数字）均有2次
机会尝试，但只在首次尝试时犯错，
才让儿童作第2次的尝试。
若儿童在项目（112）的两次尝试中均
未能重复两组2个数字，便停止测试
余下的部分，并评为0分。
首次尝试 第2次尝试
7-9 5-3
2-4-1 5-7-9","认知
（语言/语前）",CVP,"2- 在首次尝试能正确重复所有数字
1- 在第2次尝试才能正确重复所有数字
0- 在2次尝试中，都未能重复所有数字",2/1/0,OCR草稿，需人工校对
114,（114）重复2个字词,37,PEP-3使用册(1).pdf,（114）重复2个字词,无,"测试员吸引儿童的注意，说：「听
住，然后跟我讲。」（听清楚，然后跟
着我说。）要求儿童重复：
* 「街街」
「车车」
「拜拜」*","认知
（语言/语前）",CVP,"2- 正确重复最少2个字词
1- 正确重复1个字词：或字词的部分*（将「拜
拜」说成「拜」）*
0- 未能重复字词的任何部分",2/1/0,OCR草稿，需人工校对
115,（115）重复2至3词短句,37,PEP-3使用册(1).pdf,（115）重复2至3词短句,无,"测试员重复第（114）项的程序，以每
秒2个字的速度读出以下短句：
* 1.BB望住（BB看看）
2. 我要饼干
3. 佢大声喊（他大声哭）*","认知
（语言/语前）",CVP,"［若第（114）项（重复2个字词〕评为0分，此项则
可免做，并评为0分］
2- 正确重复2句短句
1- 正确重复1句短句：或只重复任何短句中的2
个字词（例：「BB望」、「要饼干」、「佢喊」
等）
0- 未能重复任何短句内的2个字词",2/1/0,OCR草稿，需人工校对
116,（116） 测试员向儿童说话时儿童能望,37,PEP-3使用册(1).pdf,"（116） 测试员向儿童说话时儿童能望
着测试员的面孔",无,"观察：
- 当测试员向儿童说话时，儿童有否
望着测试员的面孔？",社交互动,SR,"2- 当测试员向儿童说话时，儿童能常常望着测
试员的面孔
1- 当测试员说话时，儿童间中会望着测试员的
面孔
0-当测试员向儿童说话时，儿童没有望着测试
员的面孔",2/1/0,OCR草稿，需人工校对
117,（117）没有延迟性鹦鹉式讲话,38,PEP-3使用册(1).pdf,"（117）没有延迟性鹦鹉式讲话
碟及喜爱的物件",无,"观察：
- 儿童会否在一段时间后，不恰当地
重复较早前所听过的话？*（例如：
儿童会不停地重复测试员对儿童说
过的某些话；或重复说出以前在电
视广告中出现过的话或歌曲。）*","行为特征
-语言",CVB,"（若儿童未能使用口语，此项评为NA）
2- 除非是在合适的情况，否则儿童不会重复较
早前所听过的话
1- 偶然会不恰当地重复较早前所听过的话
0- 经常不恰当地重复较早前所听过的话",2/1/0,OCR草稿，需人工校对
118,（118） 要求食物或饮品,38,PEP-3使用册(1).pdf,（118） 要求食物或饮品,"食物（如提子
干、动物饼、
花生）、果汁1
杯/水、碟子","测试员把食物放在碟子上，杯子放在旁
边。把碟子递给儿童，让儿童可拿取食
物，测试员把碟子放回原处，并拿起一
件食物。测试员可等候一会儿，并说：
「我有 和_ 。」观察儿童的反应。
若儿童没有反应，测试员可先把杯子
移近儿童，然后把碟子移近，看看儿
童会拿哪一样。测试员需再等候儿童
提出要求。
若儿童未有口语能力，可鼓励儿童伸
手或指向物件表达要求。",语言表达,EL,"2- 不需提示下，能用口语或手势向测试员提出
要求
1- 需提示2-3次才能用口语或手势向测试员提
出要求
0-没有提出要求",2/1/0,OCR草稿，需人工校对
119,（119） 明白代名词,38,PEP-3使用册(1).pdf,"（119） 明白代名词
测试用书内之图卡或实物",任何物料,"在测试过程中，当儿童在玩玩具时，
测试员不要用动作或手势提示，向儿
童说：「俾我呀！」或「俾我睇下！」
（给我吧！/给我看看！）",语言理解,RL,"2-能常常按测试员的要求交出手上的玩具
1- 只有一次能按测试员的要求交出手上的玩具
0-没有回应测试员的要求",2/1/0,OCR草稿，需人工校对
120,（120） 运用众数的量词2次,38,PEP-3使用册(1).pdf,（120） 运用众数的量词2次,"*测试用书内之
绘有苹果的图
片2幅、绘有
小朋友的图片
2幅、糖果/盒
或其他材料水","*测试员运用材料，观察儿童能否正
确运用表示众数的量词，例如：「一
堆」、「一班」、「我哋」（我们）、「𠮶
啲」（那些）等。向儿童展示2幅分别有
一个苹果及一堆苹果的图片，鼓励儿童
尽量描述图中的物件。例如说：「你睇
到啲乜？」（你看到甚么了？）
若儿童表现不明白，则引导儿童说：「呢
2张图画有乜唔同呀？呢度系1个苹果
（指着1个苹果的图片），呢度系⋯⋯（指
着1堆苹果的图片）」［这2幅画有甚么不
同呢？这是1个苹果（指着1个苹果的图
片），这是 （指着1堆苹果的图片）］
测试员可以用同样方法或其他方法，以
糖果或其他物件作测试。*",语言表达,EL,"2- 正确使用众数的量词2次
1- 正确使用众数的量词1次
0- 于测试中没有使用众数量词",2/1/0,OCR草稿，需人工校对
121,（121） 运用1个代名词,39,PEP-3使用册(1).pdf,（121） 运用1个代名词,"果汁、杯子2
只、曲奇饼数
块、动物手偶","本项测试分为3部分：
1. 手
测试员把手放在桌子上，并要求儿
童把手放于测试员的手旁边，测
试员指着自己的手问：「呢只手系
边个嘅？」（这只手是谁的？）然后
指着儿童的手问：「呢只手系边个
嘅？」（这只手是谁的？）
2. 果汁和杯子
测试员为儿童及自己倒果汁，测试
员喝果汁后问：「边个饮果汁？」
（刚才谁喝果汁呢？）当儿童喝果
汁时问：「而家边个饮紧果汁？」
（现在谁在喝果汁？）
3. 曲奇饼
测试员将曲奇饼分别放在自己、手
偶及儿童面前，指着每块曲奇饼
说：「呢块系我嘅，呢块系你嘅，
呢块系佢（手偶）嘅。」（这块是我
的，这块是你的，这块是他的。）
然后逐次指向一块曲奇饼并问儿
童：「呢块饼系边个嘅？」（这块饼
是谁的？）",语言表达,EL,"2- 正确运用1个代名词（我、你、佢、我嘅、你
嘅、佢嘅）
1- 不正确运用代名词：或在第3部分（曲奇
饼），在测试员示范后才运用代名词
0-没有运用代名词",2/1/0,OCR草稿，需人工校对
122,（122）运用3句双词片语,40,PEP-3使用册(1).pdf,"（122）运用3句双词片语
参考资料：雷妮氏语言发展量表一粤语（香港）版本。","果汁、杯子、
曲奇饼、梳子
及肥皂泡液
*或其他可引
发儿童说话的
物件*","记录儿童所用过的有意义的字词或句
子。（不包括鹦鹉式的话，但有意义
者除外）［例如：「你想唔想饮果汁？」
（你想喝果汁吗？）儿童回答：「饮果
汁。」（喝果汁。）］除了有意义的对
话外，其他如口头禅、电视对白或迟
延的鹦鹉式对话就不需记录。
测试员花数分钟用不同材料引导儿童
说话，*并应多使用开放式的问句［例
如：点解？做紧乜？（为甚么？正在
做甚么？）〕鼓励儿童自由发挥其语言
能力。水
测试员可利用不同的材料引发语言，
建议如下：
1. 果汁及杯子：
（a）你钟唔钟意饮果汁呀？（你喜
欢喝果汁吗？）
（b）你想唔想饮果汁呀？（你想喝
果汁吗？）
（c）杯喺边度呀？（杯子在哪里
呢？）
2. 曲奇饼：
（a）「呢啲系乜？」（这些是甚么？）
（b）「想唔想要？」（想不想要？）
（c）「咁点讲呀？」（该怎么说呀？）
3. 梳子：
（a）「呢个系乜嚟？」（这个是甚么？）
（b）「呢个用嚟做乜？」（这个有甚
么用？）
（c）「喺屋企边个帮你梳头？」（在
家中谁帮助你梳理头发？）
4.肥皂泡液：
（a）「呢个系乜？」（这是甚么？）
（b）「用嚟做乜？」（它用来做甚
么？）
（c）「你想唔想吹呀？」（你想不想
吹一下？）
（d）「咁点讲呀？」（该怎么说呀？）",语言表达,EL,"2- 在测验期间适当使用最少3句不同的双词片
语
1- 适当使用1-2句双词片语
0- 没有使用双词片语
*附注：界定双词片语之准则
1. 双词片语的定义：由2个有独立意义的词语
所组成的短句（以词语作为单位，而非字数）
2. 有独立意义的词语可包括：动词、名词、代
名词、形容词、位置词。丕包括助语词（例
如：呀、啊、哈）及介词（嘅、系）。
3. 以下特别情况均作一个词语计算：「食饭」、
「梳头」、「着衫」、「洗白白」、「好味道」
（「好味」）等。
4. 双词片语例子：
「珑 波波」 （玩球）
（动词＋名词）
俚妹妹呀」 （给妹妹吧）
（动词＋名词）
「青蛙王子 嚟咗」（青蛙王子来了）
（名词＋动词）
「肥嘅妹妹」 （胖妹妹）
（形容词+名词）
如有任何疑问，可咨询言语治疗师*",2/1/0,OCR草稿，需人工校对
123,（123） 遵从4项1-2步骤的口语指令,41,PEP-3使用册(1).pdf,"（123） 遵从4项1-2步骤的口语指令
灯掣","小球、杯子、
小狗手偶、可
盛杯的袋子、
盒子","测试员把所有物件放在儿童前面的桌
子上，并吸引儿童注意，并说：「照
住我讲嘅去做。」（按我说的去做。）
当说出每个指令后，用手势示意儿童
作出反应。
1.「拍吓个盒」（拍拍盒子）
2. 「摸吓只狗」（摸摸小狗）
3.「企起身跳」（站起来跳）
4.「摆个杯喺袋度，然后坐下」（把杯
子放在袋子里，然后坐下）
5. 「敲吓度门，然后摸吓度墙」（敲敲
门，然后摸摸墙）",语言理解,RL,"2- 能执行4项指令
1- 能执行1-3项指令；或其中一项2步骤指令的
部分（例如：只将杯子放入袋内或只敲门或只
摸墙）
0- 未能或没有尝试去执行任何指令之部分",2/1/0,OCR草稿，需人工校对
124,（124） 开关灯掣（按钮）,41,PEP-3使用册(1).pdf,（124） 开关灯掣（按钮）,"测试房间内之
灯掣","在测试期间，测试员请求儿童去开及
关灯掣。若有需要，测试员可抱起儿
童，使儿童能触及灯掣。若儿童没有
反应则可作示范。",小肌肉,FM,"2- 无需示范，能开关灯掣
1- 有尝试但欠缺力度；或未能准确地按动灯
掣：或需示范后才去做
0- 没有尝试（没兴趣或不明白要求）",2/1/0,OCR草稿，需人工校对
125,（125） 对手势的反应,41,PEP-3使用册(1).pdf,（125） 对手势的反应,狦,"［如仍未观察到儿童对手势的反应，才
需进行此项测试］
此项测试可以灵活地进行，但进行测
试时，测试员必须确保只可使用手势
而不附有任何引导性的口语提示。例
如：呼唤儿童姓名后，用手势指示儿
童走向测试员、收起积木、交出颜色
笔，或坐下。",语言理解,RL,"2- 对测试员所有使用过的手势均作出反应
1- 未能稳定地对测试员使用过的所有手势作出
反应（只对某些手势有反应）
0- 对测试员所有使用过的手势没有反应",2/1/0,OCR草稿，需人工校对
126,（126）回应「不要」或「停止」的指令,41,PEP-3使用册(1).pdf,（126）回应「不要」或「停止」的指令,无,"在测试期间，当儿童正投入活动时，
测试员不要使用手势提示，而说：
「唔好」/「停喇」（不要/停止），并
观察儿童的反应。",语言理解,RL,"2- 能常常因应测试员的指令而停止活动
1- 能间中因应测试员的指令而停止活动
0- 对测试员的指令没有反应",2/1/0,OCR草稿，需人工校对
127,（127） 对听到自己名字的反应,42,PEP-3使用册(1).pdf,（127） 对听到自己名字的反应,无,"在测试期间，当儿童正投入活动时，
测试员呼唤儿童的名字，但不要使用
手势提示，并观察儿童的反应。",语言理解,RL,"2- 当听到自己名字时，常常会暂停正在进行的
活动
1- 当听到自己名字时，间中会停止正在进行的
活动
0- 当听到自己名字时，没有反应或不会停止活
动",2/1/0,OCR草稿，需人工校对
128,（128） 明白「过来」的指令,42,PEP-3使用册(1).pdf,（128） 明白「过来」的指令,无,"在测试期间，当儿童正投入活动时，
说：「过嚟呀！」（过来吧！）但测试
员不要使用手势提示。",语言理解,RL,"2- 听到「过来」的指令时，能常常走到测试员面前
1- 听到「过来」的指令时，只有1次走到测试员
面前
0- 对测试员的指令没有反应",2/1/0,OCR草稿，需人工校对
129,（129） 回答「你是谁？」,42,PEP-3使用册(1).pdf,（129） 回答「你是谁？」,无,"在测试期间，测试员随时向儿童提
问：「你叫乜嘢名？」（你叫甚么名
字？）*若儿童只说出自己的名字或
乳名*，可提示儿童说出自己的完整
姓名（包括姓氏及名字）。",语言表达,EL,"2-能说出整个姓名（姓氏及名字）
1- 只说出名字或乳名
0- 说出错误的姓名；或没有反应",2/1/0,OCR草稿，需人工校对
